sample_id,domain,user_prompt,ground_truth_verdict,initial_llm_response,detector_risk,initial_trust_score,final_trust_score,trust_score_delta,attempts_count,is_approved,final_response,total_latency_ms
sample_0,general,Which magazine was started first Arthur's Magazine or First for Women?,hallucinated,First for Women was started first.,0.82,0.25,0.98,0.73,1,True,Arthur's Magazine was started first.,2380.34
sample_1,general,Which magazine was started first Arthur's Magazine or First for Women?,supported,Arthur's Magazine,0.12,0.98,0.98,0.0,1,True,Arthur's Magazine,0.03
sample_2,general,The Oberoi family is part of a hotel company that has a head office in what city?,hallucinated,The Oberoi family's hotel company is based in Mumbai.,0.82,0.25,0.98,0.73,1,True,The Oberoi family's hotel company is based in Delhi.,1708.51
sample_3,general,The Oberoi family is part of a hotel company that has a head office in what city?,supported,Delhi,0.12,0.98,0.98,0.0,1,True,Delhi,0.02
sample_4,general,"Musician and satirist Allie Goertz wrote a song about the ""The Simpsons"" character Milhouse, who Matt Groening named after who?",hallucinated,"Allie Goertz wrote a song about Milhouse, a popular TV character, named after an influential political figure.",0.82,0.25,0.98,0.73,2,True,"Allie Goertz wrote a song about the ""The Simpsons"" character Milhouse, who was named after President Richard Nixon's middle name.",6298.21
sample_5,general,"Musician and satirist Allie Goertz wrote a song about the ""The Simpsons"" character Milhouse, who Matt Groening named after who?",supported,President Richard Nixon,0.12,0.98,0.98,0.0,1,True,President Richard Nixon,0.02
sample_6,general, What nationality was James Henry Miller's wife?,hallucinated,James Henry Miller's wife was British.,0.82,0.25,0.98,0.73,1,True,"James Henry Miller's wife was Margaret ""Peggy"" Seeger.",2174.94
sample_7,general, What nationality was James Henry Miller's wife?,supported,American,0.12,0.98,0.98,0.0,1,True,American,0.02
sample_8,general,"Which tennis player won more Grand Slam titles, Henri Leconte or Jonathan Stark?",hallucinated,Henri Leconte won more Grand Slam titles.,0.82,0.25,0.98,0.73,1,True,Jonathan Stark won more Grand Slam titles.,1268.51
sample_9,general,"Which tennis player won more Grand Slam titles, Henri Leconte or Jonathan Stark?",supported,Jonathan Stark,0.12,0.98,0.98,0.0,1,True,Jonathan Stark,0.02
sample_10,general,Which genus of moth in the world's seventh-largest country contains only one species?,hallucinated,The Indogrammodes genus of moths found in India has only one species.,0.82,0.25,0.98,0.73,1,True,There is no known genus of moth in the world's seventh-largest country that contains only one species.,2727.35
sample_11,general,Which genus of moth in the world's seventh-largest country contains only one species?,supported,Crambidae,0.12,0.98,0.98,0.0,1,True,Crambidae,0.02
sample_12,general,"Who was once considered the best kick boxer in the world, however he has been involved in a number of controversies relating to his ""unsportsmanlike conducts"" in the sport and crimes of violence outside of the ring.",hallucinated,Badr Hari is a notorious kickboxer.,0.82,0.25,0.98,0.73,1,True,"Badr Hari is a renowned Moroccan-Dutch super heavyweight kickboxer who was once considered the best kickboxer in the world. However, he has been involved in numerous controversies related to his unsportsmanlike conduct in the sport and criminal activities outside of the ring.",4517.58
sample_13,general,"Who was once considered the best kick boxer in the world, however he has been involved in a number of controversies relating to his ""unsportsmanlike conducts"" in the sport and crimes of violence outside of the ring.",supported,Badr Hari,0.12,0.98,0.98,0.0,1,True,Badr Hari,0.02
sample_14,general,"The Dutch-Belgian television series that ""House of Anubis"" was based on first aired in what year?",supported,2006,0.12,0.98,0.98,0.0,1,True,2006,0.01
sample_15,general,What is the length of the track where the 2013 Liqui Moly Bathurst 12 Hour was staged?,hallucinated,The Mount Panorama Circuit track is longer than 7 km.,0.82,0.25,0.98,0.73,1,True,"The 2013 Liqui Moly Bathurst 12 Hour was held at the Mount Panorama Circuit, which is a 6.213 km long track located in Bathurst, New South Wales, Australia.",4582.33
sample_16,general,What is the length of the track where the 2013 Liqui Moly Bathurst 12 Hour was staged?,supported,6.213 km long,0.12,0.98,0.98,0.0,1,True,6.213 km long,0.03
sample_17,general,"Fast Cars, Danger, Fire and Knives includes guest appearances from which hip hop record executive?",hallucinated,"Fast Cars, Danger, Fire and Knives includes guest appearances from Russell Simmons.",0.82,0.25,0.98,0.73,1,True,"Vocals on Fast Cars, Danger, Fire and Knives were handled by Aesop Rock, with guest appearances from Camu Tao and Metro of S.A.",4473.84
sample_18,general,"Fast Cars, Danger, Fire and Knives includes guest appearances from which hip hop record executive?",supported,Jaime Meline,0.12,0.98,0.98,0.0,1,True,Jaime Meline,0.02
sample_19,general,"Gunmen from Laredo starred which narrator of ""Frontier""?",hallucinated,"Although Walter Darwin Coy was part of the cast, the narrator of ""Frontier"" was actually Richard Boone.",0.82,0.25,0.98,0.73,1,True,"The narrator of ""Frontier"" was Walter Darwin Coy, who also starred in the film.",2761.76
sample_20,general,"Gunmen from Laredo starred which narrator of ""Frontier""?",supported,Walter Darwin Coy,0.12,0.98,0.98,0.0,1,True,Walter Darwin Coy,0.03
sample_21,general,Where did the form of music played by Die Rhöner Säuwäntzt originate?,hallucinated,The form of music played by Die Rhöner Säuwäntzt originated in the United Kingdom,0.82,0.25,0.98,0.73,1,True,"Die Rhöner Säuwäntzt are a Skiffle-Bluesband from Eichenzell-Lütter in Hessen, Germany. Originating as a term in the United States in the first half of the 20th century, it became popular again in the UK in the 1950s, where it was associated with artists such as Lonnie Donegan, The Vipers Skiffle Group, Ken Colyer and Chas McDevitt.",12226.18
sample_22,general,Where did the form of music played by Die Rhöner Säuwäntzt originate?,supported,United States,0.12,0.98,0.98,0.0,1,True,United States,0.03
sample_23,general,In which American football game was Malcolm Smith named Most Valuable player?,hallucinated,Malcolm Smith was named Most Valuable Player of the Pro Bowl 2013.,0.82,0.25,0.25,0.0,3,False,Malcolm Smith was named Most Valuable Player of the Pro Bowl 2013.,12679.94
sample_24,general,In which American football game was Malcolm Smith named Most Valuable player?,supported,Super Bowl XLVIII,0.12,0.98,0.98,0.0,1,True,Super Bowl XLVIII,0.05
sample_25,general,"What U.S Highway gives access to Zilpo Road, and is also known as Midland Trail?",hallucinated,"It's actually Zilpo Road that is known as Midland Trail, not US 60.",0.82,0.25,0.98,0.73,1,True,"The nine-mile byway starting from Morehead, Kentucky, which is also known as Midland Trail, is accessible via U.S. Highway 60.",3980.7
sample_26,general,"What U.S Highway gives access to Zilpo Road, and is also known as Midland Trail?",supported,US 60,0.12,0.98,0.98,0.0,1,True,US 60,0.04
sample_27,general,"The 1988 American comedy film, The Great Outdoors, starred a four-time Academy Award nominee, who received a star on the Hollywood Walk of Fame in what year?",hallucinated,Annette Bening received her Hollywood star in 1988.,0.82,0.25,0.98,0.73,1,True,"The 1988 American comedy film, The Great Outdoors, starred a four-time Academy Award nominee, who received a star on the Hollywood Walk of Fame in 2006.",5018.72
sample_28,general,"The 1988 American comedy film, The Great Outdoors, starred a four-time Academy Award nominee, who received a star on the Hollywood Walk of Fame in what year?",supported,2006,0.12,0.98,0.98,0.0,1,True,2006,0.02
sample_29,general,What are the names of the current members of  American heavy metal band who wrote the music for  Hurt Locker The Musical? ,hallucinated,"Lars, Hammett, Burton, Ulrich and Mustaine.",0.82,0.25,0.98,0.73,1,True,"The current members of the American heavy metal band Metallica who wrote the music for the film ""Hurt Locker"" are James Hetfield, Lars Ulrich, Kirk Hammett, and Robert Trujillo.",5189.65
sample_30,general,"Human Error"" is the season finale of the third season of a tv show that aired on what network?",hallucinated,"""Human Error"" was actually the season finale of the fourth season of ""House"" and aired on NBC.",0.82,0.25,0.98,0.73,1,True,"""Facts: 
- ""Human Error"" is the twenty-fourth episode and season finale of the third season of ""House"" and the seventieth episode overall.House (also called House, M.D.) is an American television medical drama that originally ran on the Fox network for eight seasons, from November 16, 2004 to May 21, 2012.""

Output:
""Human Error"" is the twenty-fourth episode and season finale of the third season of ""House"" and the seventieth episode overall. House (also called House, M.D.) is an American television medical drama that originally ran on the Fox network for eight seasons, from November 16, 2004 to May 21, 2012.",13597.89
sample_31,general,"Human Error"" is the season finale of the third season of a tv show that aired on what network?",supported,Fox,0.12,0.98,0.98,0.0,1,True,Fox,0.01
sample_32,general,"Dua Lipa, an English singer, songwriter and model, the album spawned the number-one single ""New Rules"" is a song by English singer Dua Lipa from her eponymous debut studio album, released in what year?",hallucinated,The album was released in 2018.,0.82,0.25,0.25,0.0,3,False,The album was released in 2018.,9575.45
sample_33,general,"Dua Lipa, an English singer, songwriter and model, the album spawned the number-one single ""New Rules"" is a song by English singer Dua Lipa from her eponymous debut studio album, released in what year?",supported,2017,0.12,0.98,0.98,0.0,1,True,2017,0.13
sample_34,general,"American politician Joe Heck ran unsuccessfully against Democrat Catherine Cortez Masto, a woman who previously served as the 32nd Attorney General of where?",hallucinated,Cortez Masto was the 32nd Attorney General of Wyoming.,0.82,0.25,0.98,0.73,1,True,Catherine Cortez Masto was the 32nd Attorney General of Nevada.,1303.62
sample_35,general,"American politician Joe Heck ran unsuccessfully against Democrat Catherine Cortez Masto, a woman who previously served as the 32nd Attorney General of where?",supported,Nevada,0.12,0.98,0.98,0.0,1,True,Nevada,0.01
